Species,Cluster,Count
M. abscessus subsp. abscessus,A,11
M. abscessus subsp. abscessus,B,2
M. abscessus subsp. abscessus,C,1
M. abscessus subsp. abscessus,No Cluster,21
M. abscessus subsp. abscessus,D,1
M. abscessus subsp. abscessus,F,9
M. abscessus subsp. abscessus,G,2
M. abscessus subsp. abscessus,K,10
M. abscessus subsp. abscessus,L,2
M. abscessus subsp. abscessus,M,5
M. abscessus subsp. abscessus,N,1
M. abscessus subsp. abscessus,P,5
M. abscessus subsp. abscessus,T,1
M. abscessus subsp. abscessus,Z,3
M. avium,No Cluster,2
M. abscessus subsp. bolletti,No Cluster,2
M. abscessus subsp. bolletti,M,1
M. chimaera,No Cluster,1
M. intracellulare,A,1
M. intracellulare,C,1
M. intracellulare,No Cluster,2
M. abscessus subsp. massiliense,No Cluster,2
M. abscessus subsp. massiliense,F,7
M. abscessus subsp. massiliense,M,1
M. abscessus subsp. massiliense,P,1
M. abscessus subsp. massiliense,Q,1
