Identifier,Species,Virulence,ID
CF00001-00005,MMAS,1,CF00001-00005.MMAS
CF00002-00012,MAV,0,CF00002-00012.MAV
CF00002-00014,MCHIM,0,CF00002-00014.MCHIM
CF00004-00018,MINT,0,CF00004-00018.MINT
CF00006-00020,MAB,0,CF00006-00020.MAB
CF00007-00024,MINT,3,CF00007-00024.MINT
CF00008-00026,MMAS,0,CF00008-00026.MMAS
CF00017-00040,MAB,0,CF00017-00040.MAB
CF00020-00045,MBOL,0,CF00020-00045.MBOL
CF00023-00438,MAB,0,CF00023-00438.MAB
CF00024-00056,MMAS,0,CF00024-00056.MMAS
CF00026-00061,MAB,1,CF00026-00061.MAB
CF00030-00406,MAB,0,CF00030-00406.MAB
CF00031-00407,MAB,0,CF00031-00407.MAB
CF00032-00408,MAB,5,CF00032-00408.MAB
CF00034-00410,MAB,0,CF00034-00410.MAB
CF00035-00411,MMAS,1,CF00035-00411.MMAS
CF00038-00414,MAB,2,CF00038-00414.MAB
CF00039-00415,MAB,0,CF00039-00415.MAB
CF00040-00180,MAB,0,CF00040-00180.MAB
CF00041-00417,MAB,0,CF00041-00417.MAB
CF00042-00418,MMAS,0,CF00042-00418.MMAS
CF00043-00419,MAB,1,CF00043-00419.MAB
CF00044-00420,MAB,2,CF00044-00420.MAB
CF00045-00421,MAB,0,CF00045-00421.MAB
CF00046-00423,MMAS,0,CF00046-00423.MMAS
CF00047-00424,MMAS,0,CF00047-00424.MMAS
CF00050-00429,MAB,0,CF00050-00429.MAB
CF00053-00404,MAB,0,CF00053-00404.MAB
CF00054-00430,MMAS,1,CF00054-00430.MMAS
CF00055-00431,MAB,0,CF00055-00431.MAB
CF00056-00432,MMAS,0,CF00056-00432.MMAS
CF00064-00439,MAB,0,CF00064-00439.MAB
CF00065-00440,MAB,1,CF00065-00440.MAB
CF00066-00705,MAB,1,CF00066-00705.MAB
CF00067-00436,MAB,5,CF00067-00436.MAB
CF00068-00219,MAB,2,CF00068-00219.MAB
CF00079-00228,MINT,1,CF00079-00228.MINT
CF00080-00085,MAB,1,CF00080-00085.MAB
CF00086-00091,MMAS,0,CF00086-00091.MMAS
CF00090-00095,MAB,0,CF00090-00095.MAB
CF00091-00096,MMAS,0,CF00091-00096.MMAS
CF00093-00098,MAB,1,CF00093-00098.MAB
CF00096-00101,MAB,0,CF00096-00101.MAB
CF00097-00102,MAB,0,CF00097-00102.MAB
CF00103-00108,MAB,5,CF00103-00108.MAB
CF00107-00704,MAB,1,CF00107-00704.MAB
CF00108-00112,MAB,0,CF00108-00112.MAB
CF00113-00117,MBOL,0,CF00113-00117.MBOL
CF00114-00118,MAB,0,CF00114-00118.MAB
CF00116-00120,MAB,1,CF00116-00120.MAB
CF00118-00122,MAB,0,CF00118-00122.MAB
CF00120-00124,MAB,0,CF00120-00124.MAB
CF00123-00127,MAB,1,CF00123-00127.MAB
CF00125-00129,MAB,0,CF00125-00129.MAB
CF00134-00138,MAB,1,CF00134-00138.MAB
CF00135-00139,MAB,0,CF00135-00139.MAB
CF00138-00141,MAB,5,CF00138-00141.MAB
CF00141-00144,MAB,0,CF00141-00144.MAB
CF00142-00145,MAB,0,CF00142-00145.MAB
CF00143-00146,MAB,6,CF00143-00146.MAB
CF00144-00147,MAB,5,CF00144-00147.MAB
CF00146-00149,MAV,0,CF00146-00149.MAV
CF00148-00208,MMAS,1,CF00148-00208.MMAS
CF00149-00151,MAB,2,CF00149-00151.MAB
CF00151-00153,MAB,0,CF00151-00153.MAB
CF00152-00154,MAB,1,CF00152-00154.MAB
CF00154-00156,MAB,1,CF00154-00156.MAB
CF00156-00158,MMAS,0,CF00156-00158.MMAS
CF00157-00159,MAB,1,CF00157-00159.MAB
CF00158-00160,MAB,5,CF00158-00160.MAB
CF00160-00161,MAB,0,CF00160-00161.MAB
CF00167-00168,MAB,0,CF00167-00168.MAB
CF00170-00171,MMAS,0,CF00170-00171.MMAS
CF00171-00172,MAB,1,CF00171-00172.MAB
CF00193-00178,MMAS,0,CF00193-00178.MMAS
CF00198-00463,MMAS,0,CF00198-00463.MMAS
CF00198-00657,MAV,0,CF00198-00657.MAV
CF00206-00449,MMAS,0,CF00206-00449.MMAS
CF00208-00451,MAB,0,CF00208-00451.MAB
CF00211-00454,MAB,1,CF00211-00454.MAB
CF00280-00677,MAB,0,CF00280-00677.MAB
CF00297-01032,MAB,0,CF00297-01032.MAB
CF00308-00653,MAB,0,CF00308-00653.MAB
CF00314-00660,MAB,0,CF00314-00660.MAB
CF00316-00499,MMAS,0,CF00316-00499.MMAS
CF00764-00646,MAB,0,CF00764-00646.MAB
CF00765-00647,MBOL,1,CF00765-00647.MBOL
CF00773-00659,MBOL,0,CF00773-00659.MBOL
CF00783-00676,MAB,0,CF00783-00676.MAB
CF00786-00686,MAB,0,CF00786-00686.MAB
CF00788-00688,MAB,2,CF00788-00688.MAB
CF00795-00699,MAB,2,CF00795-00699.MAB
